Politician,Information,Link,Picture
Marjorie Taylor Greene,"Marjorie Taylor Greene (née Taylor; born May 27, 1974), sometimes referred to by her initials MTG, is an American far-right politician, businesswoman, and conspiracy theorist who has been the U.S. representative for Georgia's 14th congressional district since 2021. A member of the Republican Party, she was elected to Congress in 2020 following the retirement of Republican incumbent Tom Graves and was reelected in 2022 and 2024.
Greene has promoted antisemitic and white supremacist views including the white genocide conspiracy theory, QAnon, and Pizzagate. She has amplified conspiracy theories that allege government involvement in mass shootings in the United States, implicate the Clinton family in murder, and suggest the attacks of 9/11 were a hoax. Before running for Congress, Greene supported calls to execute prominent Democratic Party politicians, including Hillary Clinton and Barack Obama. As a congresswoman, she equated the Democratic Party with Nazis, and compared COVID-19 safety measures to the persecution of Jews during the Holocaust, later apologizing for this comparison. During the Russian invasion of Ukraine, Greene promoted Russian propaganda and praised Vladimir Putin. Greene identifies as a Christian nationalist.
A vocal advocate of president Donald Trump, Greene aided and supported Trump's attempts to overturn the 2020 U.S. presidential election and has promoted Trump's false claims of a stolen election. She called for the results of the 2020 U.S. presidential election in Georgia to be decertified, and was part of a group of Republican legislators who unsuccessfully challenged votes for Joe Biden during the 2021 United States Electoral College vote count, even though federal agencies and courts overseeing the election found no evidence of electoral fraud. Days after Biden's inauguration, Greene filed articles of impeachment alleging abuse of power.
On February 4, 2021, the U.S. House of Representatives voted to remove Greene from all committee roles in response to her endorsements of political violence. Eleven Republicans joined unanimous Democrats in the vote. Greene was appointed to new committee roles in January 2023. In June 2023, Greene was expelled from the conservative House Freedom Caucus after insulting fellow caucus member Congresswoman Lauren Boebert. Greene unsuccessfully attempted to oust Mike Johnson from his role as Speaker of the House of Representatives on May 8, 2024.",https://en.wikipedia.org/wiki/Marjorie_Taylor_Greene,https://upload.wikimedia.org/wikipedia/commons/b/b0/MTG_First_Day.jpg
Michael Guest,"Michael Patrick Guest (born February 4, 1970) is an American attorney and Republican politician. He has represented Mississippi's 3rd congressional district in the United States House of Representatives since 2019. He became the ranking member of the United States House Committee on Ethics upon the August 2022 death of Jackie Walorski, and became its chair in the 118th Congress after Republicans won a House majority that November.",https://en.wikipedia.org/wiki/Michael_Guest_(politician),https://upload.wikimedia.org/wikipedia/commons/8/86/Cindy_Hyde-Smith_visits_with_Michael_Guest.jpg
Pete Sessions,"Peter Anderson Sessions (born March 22, 1955) is an American politician who serves in the United States House of Representatives for Texas's 17th congressional district as a member of the Republican Party. He chaired the House Rules Committee from 2013 to 2019 and is a former chair of the National Republican Congressional Committee. He was defeated for reelection by Democrat Colin Allred in 2018. On October 3, 2019, Sessions announced that he was running for Congress again in 2020. He was elected to the Texas's 17th congressional district seat on November 3, 2020.",https://en.wikipedia.org/wiki/Pete_Sessions,https://upload.wikimedia.org/wikipedia/commons/7/74/Pete_Sessions_%283x4_cropped%29.jpg
Lance Gooden,"Lance Carter Gooden (born December 1, 1982) is an American politician serving as the U.S. representative for Texas's 5th congressional district since 2019. His district includes parts of eastern Dallas, as well as a large swath of exurban and rural territory to Dallas's east.
A member of the Republican Party, Gooden previously served as the Texas State Representative for the 4th district (Henderson County and Kaufman County) from 2011 to 2015. He lost his reelection bid in the 2014 Republican primary election but was returned to office in the 2016 election for a non-consecutive third term in the state legislature before he ran for Congress.",https://en.wikipedia.org/wiki/Lance_Gooden,https://upload.wikimedia.org/wikipedia/commons/f/f3/Emblem-money.svg
Morgan McGarvey,"John Morgan McGarvey (born December 23, 1979) is an American attorney and politician serving as the U.S. representative for Kentucky's 3rd congressional district since 2023. A member of the Democratic Party, he represented the 19th district in the Kentucky Senate from 2012 to 2023. In 2018, he was elected minority leader, becoming one of the youngest members of a state legislature to serve in a leadership role. He is currently the only Democrat in Kentucky's congressional delegation.",https://en.wikipedia.org/wiki/Morgan_McGarvey,https://upload.wikimedia.org/wikipedia/commons/a/a8/Rep._Morgan_McGarvey_-_118th_Congress_%28cropped2%29.jpg
Jared Moskowitz,"Jared Evan Moskowitz ( MOSS-kə-wits; born December 18, 1980) is an American politician serving as the U.S. representative for Florida's 23rd congressional district since 2023. As a member of the Democratic Party, Moskowitz served on the Broward County Commission from 2022 to 2023 and as director of the Florida Division of Emergency Management from 2019 to 2021. Before his appointment to the Florida Division of Emergency Management, he served in the Florida House of Representatives, representing the Coral Springs-Parkland area in northern Broward County from 2012 to 2019.",https://en.wikipedia.org/wiki/Jared_Moskowitz,https://upload.wikimedia.org/wikipedia/commons/e/ee/JEM_New_Headshot_2.jpg
Earl Blumenauer,"Earl Francis Blumenauer ( BLOOM-ə-nowər; born August 16, 1948) is an American lawyer, author, and politician who served as the U.S. representative for Oregon's 3rd congressional district from 1996 to 2025. The district includes most of Portland east of the Willamette River.
As a member of the Democratic Party, Blumenauer previously spent over 20 years as a public official in Portland, including serving on the Portland City Council from 1987 to 1996, when he succeeded Ron Wyden in the U.S. House of Representatives. Wyden was elected to the U.S. Senate after Bob Packwood resigned.
Blumenauer is known for his distinctive bow ties and neon bicycle lapel pins. Blumenauer gifts his signature bike pins to fellow congressmen, interns, and staffers.",https://en.wikipedia.org/wiki/Earl_Blumenauer,https://upload.wikimedia.org/wikipedia/commons/b/b5/Earl_Blumenauer%2C_official_portrait%2C_116th_Congress_2.jpg
Jake Auchincloss,"Jacob Daniel Auchincloss ( AW-kin-kloss; born January 29, 1988) is an American politician and businessman serving as the U.S. representative for Massachusetts's 4th congressional district since 2021. He is a member of the Democratic Party.",https://en.wikipedia.org/wiki/Jake_Auchincloss,https://upload.wikimedia.org/wikipedia/commons/0/0b/Jake_Auchincloss_signature.svg
Tina Smith,"Christine Elizabeth Smith (née Flint, born March 4, 1958) is an American politician, retired Democratic political consultant, and former businesswoman serving as the junior United States senator from Minnesota since 2018. She is a member of the Minnesota Democratic–Farmer–Labor Party (DFL), an affiliate of the Democratic Party.
Born in Albuquerque, New Mexico, Smith moved to Minnesota in the 1980s to work for General Mills and later became the vice president of Planned Parenthood of Minnesota. She then began a career as a political consultant and organizer for local Democratic candidates. Smith managed Walter Mondale's unsuccessful last-minute campaign in the 2002 United States Senate election in Minnesota after incumbent senator Paul Wellstone died in a plane crash 11 days before the election.
After Mondale lost, Smith served as chief of staff to Mayor of Minneapolis R. T. Rybak. She then helped run Mark Dayton's successful campaign for Governor of Minnesota in 2010. After his victory, Dayton named Smith his chief of staff. Later, for Dayton's reelection campaign in the 2014 election, Smith was named as Dayton's pick for lieutenant governor. After winning her first election to public office, Smith served from 2015 to 2018 as Minnesota's 48th lieutenant governor. Dayton then appointed her to fill the U.S. Senate seat vacated by Al Franken's resignation in 2018. She won the 2018 special election and was elected to a full term in 2020.",https://en.wikipedia.org/wiki/Tina_Smith,https://upload.wikimedia.org/wikipedia/commons/0/0d/Governor_Mark_Dayton_appoints_Lt._Governor_Tina_Smith_to_the_U.S._Senate_%2839035441961%29.jpg
Debbie Wasserman Schultz,"Deborah Wasserman Schultz (née Wasserman; ; born September 27, 1966) is an American politician serving as the U.S. representative for Florida's 25th congressional district, first elected to Congress in 2004. A member of the Democratic Party, she is a former chair of the Democratic National Committee.
Wasserman Schultz served in the Florida House of Representatives and the Florida Senate and was a national co-chair of Hillary Clinton's 2008 campaign for president. Her district covers much of southern Broward County, including a large part of Fort Lauderdale.
Wasserman Schultz was elected chair of the Democratic National Committee in May 2011, replacing Tim Kaine. On July 28, 2016, she resigned from that position after WikiLeaks released leaked emails showing that she and other members of the DNC staff had expressed bias in preference of Hillary Clinton over Bernie Sanders in the 2016 Democratic primaries. The emails showed that some DNC officials had discussed strategies to weaken Sanders’ campaign, questioning his viability, and even suggesting ways to discredit his supporters. She secured a senior surrogate spot on the Clinton campaign afterwards.

",https://en.wikipedia.org/wiki/Debbie_Wasserman_Schultz,https://upload.wikimedia.org/wikipedia/commons/1/16/DNC_Chair_Rep._Debbie_Wasserman_Schultz_speaks_to_College_Democrats.jpg
Tommy Tuberville,"Thomas Hawley Tuberville (; born September 18, 1954) is an American politician and retired college football coach who is the senior United States senator from Alabama, a seat he has held since 2021. Before entering politics, Tuberville was the head football coach at Auburn University from 1999 to 2008. He was also the head football coach at the University of Mississippi from 1995 to 1998, Texas Tech University from 2010 to 2012, and the University of Cincinnati from 2013 to 2016.
Tuberville won five national Coach of the Year Awards (AP, AFCA, Sporting News, Walter Camp, and Bear Bryant) following Auburn's 13–0 season in 2004, in which Auburn won the Southeastern Conference title and the Sugar Bowl, but was left out of the BCS National Championship Game. He earned his 100th career win in 2007. Tuberville is the only coach in Auburn football history to beat in-state rival Alabama six consecutive times. In 2015, he was the president of the American Football Coaches Association. He worked for ESPN as a color analyst for its college football coverage during 2017.
In his first political campaign, Tuberville won the Republican nomination for the 2020 Senate election in Alabama and defeated Democratic incumbent Doug Jones by over 20 points. Establishing himself as an ally of President Donald Trump, he was among a group of Republican senators who attempted to overturn Democratic president-elect Joe Biden's victory over Trump in the 2020 presidential election. Tuberville became Alabama's senior senator in 2023 when Senator Richard Shelby retired.
For 10 months in 2023, Tuberville blocked all promotions of senior officers in the U.S. military. His protest of Defense Department policies on abortion temporarily deprived the Army, Navy, Air Force, and Marine Corps of confirmed top officers and delayed the filling of more than 450 other senior positions.",https://en.wikipedia.org/wiki/Tommy_Tuberville,https://upload.wikimedia.org/wikipedia/commons/f/f9/210610-D-TT977-0181_%2851239237105%29.jpg
